Date	Netherlands	Greece
8/18/1992	326.609	319.714
8/19/1992	327.707	317.395
8/20/1992	327.546	318.251
8/21/1992	329.64	319.077
8/24/1992	320.382	314.339
8/25/1992	317.904	306.248
8/26/1992	320.533	304.038
8/27/1992	325.039	310.079
8/28/1992	323.068	309.353
8/31/1992	322.825	306.426
9/1/1992	320.382	306.506
9/2/1992	319.48	307.459
9/3/1992	324.512	308.921
9/4/1992	322.748	311.626
9/7/1992	320.984	311.283
9/8/1992	319.866	310.137
9/9/1992	320.168	308.764
9/10/1992	319.75	308.805
9/11/1992	323.769	308.453
9/14/1992	329.629	306.026
9/15/1992	327.429	303.828
9/16/1992	331.844	301.883
9/17/1992	332.585	304.069
9/18/1992	333.624	310.972
9/21/1992	333.944	302.021
9/22/1992	332.235	302.676
9/23/1992	333.108	300.197
9/24/1992	334.715	295.323
9/25/1992	333.222	288.905
9/28/1992	330.691	283.626
9/29/1992	330.346	272.303
9/30/1992	330.15	271.656
10/1/1992	330.126	279.385
10/2/1992	328.295	285.198
10/5/1992	318.438	281.558
10/6/1992	322.262	276.484
10/7/1992	322.037	276.174
10/8/1992	323.711	271.377
10/9/1992	324.254	269.968
10/12/1992	324.823	269.265
10/13/1992	326.374	269.343
10/14/1992	325.334	268.01
10/15/1992	324.064	265.714
10/16/1992	324.729	261.2
10/19/1992	323.429	252.389
10/20/1992	328.893	247.374
10/21/1992	327.246	253.35
10/22/1992	326.817	255.356
10/23/1992	328.496	250.897
10/26/1992	327.987	251.579
10/27/1992	328.356	252.618
10/28/1992	328.077	252.618
10/29/1992	326.866	250.766
10/30/1992	324.802	249.602
11/2/1992	327.182	253.829
11/3/1992	329.523	256.984
11/4/1992	326.211	251.55
11/5/1992	326.855	251.809
11/6/1992	327.649	252.642
11/9/1992	327.328	249.492
11/10/1992	329.242	246.928
11/11/1992	326.93	242.085
11/12/1992	330.433	239
11/13/1992	329.17	238.776
11/16/1992	330.187	236.754
11/17/1992	330.097	235.339
11/18/1992	328.294	235.434
11/19/1992	327.21	237.759
11/20/1992	328.429	239.663
11/23/1992	328.173	238.238
11/24/1992	328.584	242.592
11/25/1992	328.799	249.21
11/26/1992	329.366	247.653
11/27/1992	329.008	250.742
11/30/1992	329.825	264.149
12/1/1992	330.522	264.079
12/2/1992	329.114	269.411
12/3/1992	331.17	284.85
12/4/1992	332.023	294.245
12/7/1992	333.205	277.245
12/8/1992	333.78	270.022
12/9/1992	335.791	260.803
12/10/1992	334.874	265.325
12/11/1992	334.695	275.853
12/14/1992	334.513	280.255
12/15/1992	333.489	284.712
12/16/1992	332.434	288.685
12/17/1992	331.892	295.595
12/18/1992	333.842	294.226
12/21/1992	334.737	284.263
12/22/1992	336.378	288.135
12/23/1992	336.573	282.947
12/24/1992	337.134	282.016
12/25/1992	337.134	282.016
12/28/1992	338.443	278.453
